,Tm,Year,Player,Position,Tm-1,Age-1,G-1,GS-1,Pass_Att_G-1,Pass_Comp_G-1,Pass_Int_G-1,Pass_TD_G-1,Pass_Yds_G-1,REC_1D-1,REC_Ctch%-1,REC_FL_G-1,REC_Fmb_G-1,REC_Rec-1,REC_Rec_G-1,REC_TD-1,REC_TD_G-1,REC_T_Tgt-1,REC_Tgt-1,REC_Tgt_G-1,REC_Y_R-1,REC_Yds-1,REC_Yds_G-1,RSH_1D-1,RSH_Att-1,RSH_Att_G-1,RSH_TD-1,RSH_TD_G-1,RSH_Y_A-1,RSH_Yds-1,RSH_Yds_G-1,Total_TD-1,Total_TD_G-1,Total_Tch-1,YScm-1,Y_Tch-1,Tm-2,Age-2,G-2,GS-2,Pass_Att_G-2,Pass_Comp_G-2,Pass_Int_G-2,Pass_TD_G-2,Pass_Yds_G-2,REC_1D-2,REC_Ctch%-2,REC_FL_G-2,REC_Fmb_G-2,REC_Rec-2,REC_Rec_G-2,REC_TD-2,REC_TD_G-2,REC_T_Tgt-2,REC_Tgt-2,REC_Tgt_G-2,REC_Y_R-2,REC_Yds-2,REC_Yds_G-2,RSH_1D-2,RSH_Att-2,RSH_Att_G-2,RSH_TD-2,RSH_TD_G-2,RSH_Y_A-2,RSH_Yds-2,RSH_Yds_G-2,Total_TD-2,Total_TD_G-2,Total_Tch-2,YScm-2,Y_Tch-2
0,CAR,2020,Christian McCaffrey,RB,1,23.0,16.0,16.0,0.13,0.0,0.0,0.0,0.0,58.0,0.8170000000000001,0.0,0.06,116.0,7.25,4.0,0.25,7.1,142.0,8.88,8.7,1005.0,62.8,57.0,287.0,17.9,15.0,0.94,4.8,1387.0,86.7,19.0,1.19,403.0,2392.0,5.9,1,22.0,16.0,16.0,0.06,0.06,0.0,0.06,3.13,41.0,0.863,0.06,0.25,107.0,6.69,6.0,0.38,7.0,124.0,7.75,8.1,867.0,54.2,53.0,219.0,13.7,7.0,0.44,5.0,1098.0,68.6,13.0,0.81,326.0,1965.0,6.0
1,NYG,2020,Saquon Barkley,RB,1,22.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,0.7120000000000001,0.0,0.08,52.0,4.0,2.0,0.15,6.0,73.0,5.62,8.4,438.0,33.7,45.0,217.0,16.7,6.0,0.46,4.6,1003.0,77.2,8.0,0.62,269.0,1441.0,5.4,1,21.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,30.0,0.752,0.0,0.0,91.0,5.69,4.0,0.25,6.0,121.0,7.56,7.9,721.0,45.1,50.0,261.0,16.3,11.0,0.69,5.0,1307.0,81.7,15.0,0.94,352.0,2028.0,5.8
2,NO,2020,Michael Thomas,WR,0,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,91.0,0.805,0.0,0.06,149.0,9.31,9.0,0.56,9.3,185.0,11.6,11.6,1725.0,107.8,0.0,1.0,0.06,0.0,0.0,-9.0,-9.0,-0.56,9.0,0.56,150.0,1716.0,11.4,0,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,82.0,0.85,0.13,0.13,125.0,7.81,9.0,0.56,9.6,147.0,9.19,11.2,1405.0,87.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.56,125.0,1405.0,11.2
3,DAL,2020,Ezekiel Elliott,RB,1,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,21.0,0.7609999999999999,0.13,0.19,54.0,3.38,2.0,0.13,5.9,71.0,4.44,7.8,420.0,26.3,78.0,301.0,18.8,12.0,0.75,4.5,1357.0,84.8,14.0,0.88,355.0,1777.0,5.0,1,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,24.0,0.8109999999999999,0.07,0.4,77.0,5.13,3.0,0.2,6.0,95.0,6.33,7.4,567.0,37.8,84.0,304.0,20.3,6.0,0.4,4.7,1434.0,95.6,9.0,0.6,381.0,2001.0,5.3
4,MIN,2020,Dalvin Cook,RB,1,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,26.0,0.841,0.14,0.29,53.0,3.79,0.0,0.0,8.2,63.0,4.5,9.8,519.0,37.1,60.0,250.0,17.9,13.0,0.93,4.5,1135.0,81.1,13.0,0.93,303.0,1654.0,5.5,1,23.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.816,0.18,0.18,40.0,3.64,2.0,0.18,6.2,49.0,4.45,7.6,305.0,27.7,22.0,133.0,12.1,2.0,0.18,4.6,615.0,55.9,4.0,0.36,173.0,920.0,5.3
5,TEN,2020,Derrick Henry,RB,1,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,0.75,0.2,0.33,18.0,1.2,2.0,0.13,8.6,24.0,1.6,11.4,206.0,13.7,73.0,303.0,20.2,16.0,1.07,5.1,1540.0,102.7,18.0,1.2,321.0,1746.0,5.4,1,24.0,16.0,12.0,0.19,0.13,0.0,0.0,0.88,4.0,0.833,0.06,0.06,15.0,0.94,0.0,0.0,5.5,18.0,1.13,6.6,99.0,6.19,51.0,215.0,13.4,12.0,0.75,4.9,1059.0,66.2,12.0,0.75,230.0,1158.0,5.0
6,NO,2020,Alvin Kamara,RB,0,24.0,14.0,9.0,0.07,0.07,0.0,0.0,0.93,28.0,0.835,0.07,0.29,81.0,5.79,1.0,0.07,5.5,97.0,6.93,6.6,533.0,38.1,32.0,171.0,12.2,5.0,0.36,4.7,797.0,56.9,6.0,0.43,252.0,1330.0,5.3,0,23.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,37.0,0.7709999999999999,0.0,0.07,81.0,5.4,4.0,0.27,6.8,105.0,7.0,8.8,709.0,47.3,64.0,194.0,12.9,14.0,0.93,4.6,883.0,58.9,18.0,1.2,275.0,1592.0,5.8
7,KC,2020,Tyreek Hill,WR,0,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,39.0,0.652,0.0,0.0,58.0,4.83,7.0,0.58,9.7,89.0,7.42,14.8,860.0,71.7,1.0,8.0,0.67,0.0,0.0,2.9,23.0,1.92,7.0,0.58,66.0,883.0,13.4,0,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,66.0,0.635,0.0,0.0,87.0,5.44,12.0,0.75,10.8,137.0,8.56,17.0,1479.0,92.4,8.0,22.0,1.38,1.0,0.06,6.9,151.0,9.44,13.0,0.88,109.0,1630.0,15.0
8,GB,2020,Davante Adams,WR,0,27.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,54.0,0.654,0.08,0.17,83.0,6.92,5.0,0.42,7.9,127.0,10.6,12.0,997.0,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.42,83.0,997.0,12.0,0,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,64.0,0.657,0.0,0.0,111.0,7.4,13.0,0.87,8.2,169.0,11.3,12.5,1386.0,92.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.87,111.0,1386.0,12.5
9,GB,2020,Aaron Jones,RB,0,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,18.0,0.721,0.13,0.19,49.0,3.06,3.0,0.19,7.0,68.0,4.25,9.7,474.0,29.6,55.0,236.0,14.8,16.0,1.0,4.6,1084.0,67.8,19.0,1.19,285.0,1558.0,5.5,0,24.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.743,0.08,0.08,26.0,2.17,1.0,0.08,5.9,35.0,2.92,7.9,206.0,17.2,41.0,133.0,11.1,8.0,0.67,5.5,728.0,60.7,9.0,0.75,159.0,934.0,5.9
