,HPPR_G
0,8.85
1,5.025
2,4.47
3,1.4
4,1.01
5,0.775
6,0.76
7,3.24
8,2.12
9,1.29
10,1.275
11,0.7749999999999999
12,1.54
13,5.33
14,4.995
15,4.915
16,1.255
17,9.715
18,7.225
19,3.7600000000000002
20,1.09
21,1.06
22,1.44
23,0.535
24,6.355
25,4.94
26,7.845000000000001
27,7.220000000000001
28,5.18
29,3.9450000000000003
30,1.4449999999999998
31,9.885
32,9.649999999999999
33,8.195
34,4.395
35,4.55
36,2.965
37,1.27
38,1.205
39,10.85
40,9.754999999999999
41,5.17
42,4.31
43,2.21
44,0.96
45,0.55
46,2.69
47,3.1100000000000003
48,1.9849999999999999
49,0.5599999999999999
50,7.970000000000001
51,3.09
52,1.42
53,1.98
54,0.755
55,0.6599999999999999
56,0.53
57,5.8149999999999995
58,8.02
59,6.505
60,3.635
61,2.67
62,3.13
63,2.6550000000000002
64,1.3599999999999999
65,1.335
66,6.6899999999999995
67,5.859999999999999
68,3.54
69,3.92
70,3.16
71,3.4299999999999997
72,3.58
73,2.09
74,2.8899999999999997
75,1.73
76,0.515
77,0.68
78,8.465
79,6.5600000000000005
80,3.6900000000000004
81,3.21
82,3.075
83,2.99
84,3.275
85,1.13
86,0.695
87,8.79
88,7.9350000000000005
89,7.345
90,5.375
91,5.8149999999999995
92,5.640000000000001
93,4.385
94,3.985
95,4.0649999999999995
96,4.865
97,3.3049999999999997
98,0.915
99,0.75
100,11.9
101,9.735
102,9.885
103,8.465
104,6.66
105,5.885
106,4.49
107,4.51
108,3.7649999999999997
109,5.635
110,5.47
111,1.51
112,1.89
113,1.875
114,0.855
115,0.5900000000000001
116,13.5
117,9.245
118,6.3
119,5.484999999999999
120,3.3249999999999997
121,2.3649999999999998
122,1.955
123,1.58
124,1.1099999999999999
125,0.705
126,1.8299999999999998
127,5.195
128,3.18
129,8.344999999999999
130,6.385
131,5.755
132,1.73
133,11.3
134,10.3
135,9.600000000000001
136,5.225
137,4.83
138,3.915
139,4.395
140,1.74
141,1.0550000000000002
142,16.05
143,17.05
144,13.45
145,11.1
146,5.6850000000000005
147,4.9350000000000005
148,2.865
149,1.575
150,0.64
151,11.795
152,11.850000000000001
153,12.75
154,7.305
155,2.4699999999999998
156,2.965
157,1.8800000000000001
158,1.6099999999999999
159,0.865
160,16.55
161,12.3
162,14.65
163,15.1
164,5.49
165,4.95
166,5.595000000000001
167,3.28
168,1.21
169,0.925
170,0.6
171,16.4
172,18.200000000000003
173,9.870000000000001
174,6.455
175,5.425
176,6.6899999999999995
177,1.67
178,0.95
179,14.75
180,11.565
181,11.120000000000001
182,14.7
183,8.02
184,3.965
185,3.645
186,2.7800000000000002
187,1.47
188,0.91
189,12.3
190,7.725
191,7.755
192,8.355
193,4.734999999999999
194,4.88
195,3.245
196,1.31
197,0.735
198,14.3
199,12.35
200,11.45
201,13.15
202,7.875
203,6.164999999999999
204,4.18
205,3.7249999999999996
206,4.615
207,2.495
208,0.55
209,9.385
210,8.7
211,5.615
212,6.8
213,4.29
214,2.98
215,1.34
216,12.275
217,10.45
218,13.7
219,9.004999999999999
220,5.035
221,5.4350000000000005
222,2.795
223,2.9050000000000002
224,1.3199999999999998
225,12.9
226,8.84
227,10.55
228,8.615
229,4.3100000000000005
230,3.7199999999999998
231,2.875
232,1.875
233,1.19
234,1.17
235,14.15
236,19.3
237,11.665
238,9.785
239,9.465
240,6.734999999999999
241,4.255
242,2.48
243,1.605
244,1.075
245,11.879999999999999
246,16.4
247,8.2
248,5.62
249,4.35
250,2.865
251,2.0149999999999997
252,1.505
253,1.3399999999999999
254,12.9
255,5.46
256,4.949999999999999
257,3.935
258,5.945
259,4.325
260,1.64
261,0.73
262,0.5900000000000001
263,13.850000000000001
264,9.455
265,3.81
266,3.25
267,0.9
268,0.695
269,0.675
270,9.525
271,8.74
272,10.295
273,5.915
274,5.09
275,2.59
276,2.105
277,0.625
278,9.735
279,12.899999999999999
280,15.05
281,7.67
282,6.404999999999999
283,4.08
284,4.035
285,3.58
286,0.655
287,9.45
288,12.600000000000001
289,14.8
290,6.655
291,6.505000000000001
292,6.135
293,3.01
294,2.83
295,0.685
296,16.65
297,9.64
298,10.75
299,6.59
300,3.92
301,4.05
302,4.2
303,0.64
304,0.675
305,0.58
306,12.225
307,8.525
308,8.725
309,7.265
310,6.904999999999999
311,6.800000000000001
312,3.635
313,0.825
314,0.7
315,17.35
316,13.9
317,8.555
318,7.68
319,2.215
320,2.0300000000000002
321,1.19
322,0.7
323,14.05
324,10.295
325,13.75
326,13.25
327,9.379999999999999
