FantasyPros.com 
2016 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Cam Newton,FA,QB,1,2,0.49,
2,Aaron Rodgers,GB,QB,1,4,1.17,
3,Russell Wilson,SEA,QB,2,4,0.75,
4,Andrew Luck,FA,QB,2,6,1.33,
5,Drew Brees,NO,QB,3,6,1.20,
6,Ben Roethlisberger,PIT,QB,5,7,0.89,
7,Carson Palmer,FA,QB,7,9,0.75,
8,Eli Manning,FA,QB,8,11,1.17,
9,Philip Rivers,IND,QB,6,13,2.45,
10,Tom Brady,TB,QB,7,15,3.20,
11,Blake Bortles,FA,QB,9,16,2.40,
12,Kirk Cousins,MIN,QB,8,17,3.14,
13,Tyrod Taylor,LAC,QB,8,16,2.71,
14,Jameis Winston,FA,QB,6,21,4.92,
15,Matthew Stafford,DET,QB,11,17,2.06,
16,Andy Dalton,CIN,QB,10,20,3.71,
17,Derek Carr,LV,QB,11,21,3.37,
18,Marcus Mariota,LV,QB,14,20,2.14,
19,Matt Ryan,ATL,QB,15,21,2.00,
20,Ryan Fitzpatrick,MIA,QB,15,26,3.72,
21,Ryan Tannehill,TEN,QB,18,23,1.79,
22,Robert Griffin,BAL,QB,13,28,5.39,
23,Dak Prescott,DAL,QB,19,27,3.12,
24,Jay Cutler,FA,QB,22,28,2.23,
25,Joe Flacco,FA,QB,23,26,1.02,
26,Alex Smith,WAS,QB,22,27,1.74,
27,Brock Osweiler,FA,QB,23,27,1.50,
28,Sam Bradford,FA,QB,28,30,0.89,
29,Carson Wentz,PHI,QB,27,31,1.33,
30,Blaine Gabbert,TB,QB,27,31,1.62,
31,Trevor Siemian,FA,QB,29,32,1.17,
32,Paxton Lynch,PIT,QB,31,31,0.00,
33,Case Keenum,CLE,QB,32,33,0.47,
34,Shaun Hill,FA,QB,32,32,0.00,
35,Tony Romo,FA,QB,32,32,0.00,
