FantasyPros.com 
2016 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Antonio Brown,FA,WR,1,1,0.00,
2,Julio Jones,ATL,WR,2,3,0.49,
3,Odell Beckham Jr.,CLE,WR,2,3,0.49,
4,A.J. Green,CIN,WR,4,6,0.89,
5,DeAndre Hopkins,ARI,WR,4,6,0.75,
6,Keenan Allen,LAC,WR,4,8,1.62,
7,Allen Robinson,CHI,WR,4,11,2.48,
8,Brandon Marshall,FA,WR,7,10,1.17,
9,Mike Evans,TB,WR,7,12,1.60,
10,Sammy Watkins,KC,WR,6,13,2.48,
11,Brandin Cooks,HOU,WR,9,15,2.33,
12,Dez Bryant,FA,WR,7,18,4.34,
13,Alshon Jeffery,PHI,WR,11,15,1.41,
14,Amari Cooper,DAL,WR,10,19,3.01,
15,Jordy Nelson,FA,WR,9,24,5.04,
16,T.Y. Hilton,IND,WR,11,20,2.93,
17,Demaryius Thomas,FA,WR,16,22,2.06,
18,Jarvis Landry,CLE,WR,14,24,3.98,
19,Eric Decker,FA,WR,17,21,1.50,
20,Donte Moncrief,FA,WR,13,27,5.19,
21,Golden Tate,NYG,WR,16,25,3.01,
22,Julian Edelman,NE,WR,18,28,3.56,
23,Doug Baldwin,FA,WR,16,28,4.76,
24,Randall Cobb,HOU,WR,21,25,1.33,
25,Jeremy Maclin,FA,WR,19,28,2.93,
26,Michael Floyd,FA,WR,23,33,3.56,
27,Jordan Matthews,SF,WR,25,33,3.03,
28,Marvin Jones,DET,WR,26,31,1.72,
29,Larry Fitzgerald,ARI,WR,20,34,4.90,
30,Emmanuel Sanders,NO,WR,29,35,2.48,
31,Allen Hurns,MIA,WR,30,37,2.71,
32,Tyler Lockett,SEA,WR,27,36,3.66,
33,John Brown,BUF,WR,30,37,2.32,
34,Josh Gordon,FA,WR,30,40,3.72,
35,Michael Crabtree,FA,WR,29,39,3.71,
36,Kelvin Benjamin,FA,WR,27,41,4.77,
37,DeSean Jackson,PHI,WR,34,39,1.94,
38,Sterling Shepard,NYG,WR,32,50,6.32,
39,Stefon Diggs,BUF,WR,36,45,3.26,
40,Vincent Jackson,FA,WR,36,51,5.90,
41,Tavon Austin,FA,WR,37,48,3.60,
42,Corey Coleman,NYG,WR,42,48,2.33,
43,Willie Snead,BAL,WR,40,52,4.12,
44,Travis Benjamin,SF,WR,40,52,4.80,
45,Kamar Aiken,FA,WR,38,53,5.23,
46,Devin Funchess,GB,WR,39,62,8.16,
47,Mohamed Sanu,NE,WR,43,56,4.96,
48,Phillip Dorsett,SEA,WR,46,57,4.08,
49,Kevin White,FA,WR,47,56,3.14,
50,DeVante Parker,MIA,WR,44,61,7.36,
51,Markus Wheaton,FA,WR,47,58,4.67,
52,Tajae Sharpe,MIN,WR,39,69,10.23,
53,Torrey Smith,FA,WR,50,55,2.32,
54,Michael Thomas,NO,WR,45,60,5.39,
55,Rishard Matthews,FA,WR,46,65,6.15,
56,Mike Wallace,FA,WR,53,59,2.23,
57,Will Fuller,HOU,WR,51,60,3.01,
58,Chris Hogan,FA,WR,41,72,10.67,
59,Steve Smith,FA,WR,44,69,8.40,
60,Ted Ginn,NO,WR,51,70,7.71,
61,Anquan Boldin,FA,WR,53,68,5.10,
62,Pierre Garcon,FA,WR,57,68,3.61,
63,Tyler Boyd,CIN,WR,54,71,5.90,
64,Laquon Treadwell,ATL,WR,59,80,6.97,
65,Eli Rogers,FA,WR,61,71,3.96,
66,Sammie Coates,FA,WR,62,72,3.90,
67,Kenny Stills,HOU,WR,63,74,4.03,
68,Dorial Green-Beckham,FA,WR,66,75,3.19,
69,Josh Doctson,NYJ,WR,64,72,3.54,
70,Breshad Perriman,NYJ,WR,62,70,3.30,
71,Terrance Williams,FA,WR,56,78,7.55,
72,Robert Woods,LAR,WR,59,66,3.50,
73,Kendall Wright,FA,WR,64,64,0.00,
74,Davante Adams,GB,WR,61,75,5.39,
75,Brandon LaFell,FA,WR,65,73,3.30,
76,Kenny Britt,FA,WR,67,68,0.50,
77,Jermaine Kearse,FA,WR,64,72,4.00,
78,Chris Conley,JAC,WR,65,65,0.00,
79,Jaelen Strong,FA,WR,71,75,1.70,
80,Victor Cruz,FA,WR,67,67,0.00,
81,Jamison Crowder,NYJ,WR,69,69,0.00,
82,Nelson Agholor,LV,WR,70,79,4.50,
83,Tyrell Williams,LV,WR,74,75,0.47,
84,Charles Johnson,FA,WR,74,74,0.00,
85,Jeff Janis,FA,WR,74,74,0.00,
86,Seth Roberts,CAR,WR,75,75,0.00,
87,Quinton Patton,FA,WR,76,76,0.00,
88,Darrius Heyward-Bey,FA,WR,77,77,0.00,
