FantasyPros.com 
2017 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,David Johnson,HOU,RB,1,1,0.00,
2,Le'Veon Bell,NYJ,RB,2,2,0.00,
3,Devonta Freeman,FA,RB,3,5,0.82,
4,Melvin Gordon,DEN,RB,3,5,0.82,
5,Jay Ajayi,FA,RB,3,8,2.16,
6,DeMarco Murray,FA,RB,4,8,1.63,
7,LeSean McCoy,FA,RB,5,7,0.82,
8,Jordan Howard,MIA,RB,6,10,1.63,
9,Ezekiel Elliott,DAL,RB,7,10,1.25,
10,Dalvin Cook,MIN,RB,9,14,2.05,
11,Christian McCaffrey,CAR,RB,11,14,1.41,
12,Isaiah Crowell,FA,RB,9,17,3.40,
13,Kareem Hunt,CLE,RB,10,15,2.16,
14,Todd Gurley,ATL,RB,12,16,1.70,
15,Leonard Fournette,JAC,RB,13,18,2.36,
16,Lamar Miller,FA,RB,12,19,2.87,
17,Carlos Hyde,FA,RB,16,19,1.25,
18,Ty Montgomery,FA,RB,15,23,3.56,
19,Marshawn Lynch,FA,RB,17,24,2.94,
20,C.J. Anderson,FA,RB,18,22,1.89,
21,Ameer Abdullah,MIN,RB,20,24,1.89,
22,Joe Mixon,CIN,RB,20,23,1.25,
23,Mark Ingram II,BAL,RB,17,30,5.44,
24,Bilal Powell,FA,RB,21,30,3.74,
25,Tevin Coleman,SF,RB,25,27,0.82,
26,Robert Kelley,FA,RB,21,32,4.50,
27,Danny Woodhead,FA,RB,25,28,1.25,
28,Adrian Peterson,WAS,RB,25,38,5.72,
29,Mike Gillislee,FA,RB,28,37,4.03,
30,Doug Martin,FA,RB,23,45,9.18,
31,Derrick Henry,TEN,RB,31,35,1.89,
32,Theo Riddick,FA,RB,29,42,5.44,
33,Duke Johnson,HOU,RB,32,36,1.89,
34,Frank Gore,FA,RB,28,47,8.34,
35,Terrance West,FA,RB,29,46,7.59,
36,James White,NE,RB,34,40,2.45,
37,Darren McFadden,FA,RB,35,41,2.62,
38,Paul Perkins,FA,RB,27,46,8.18,
39,Thomas Rawls,FA,RB,37,42,2.16,
40,Darren Sproles,FA,RB,33,46,5.31,
41,C.J. Prosise,SEA,RB,33,47,5.72,
42,Jonathan Stewart,FA,RB,38,43,2.16,
43,Jacquizz Rodgers,FA,RB,34,44,4.71,
44,Rex Burkhead,NE,RB,40,41,0.47,
45,Jeremy Hill,FA,RB,32,48,6.94,
46,Eddie Lacy,FA,RB,43,45,0.82,
47,Matt Forte,FA,RB,34,53,8.04,
48,Shane Vereen,FA,RB,39,43,2.00,
49,LeGarrette Blount,FA,RB,47,51,1.70,
50,Jamaal Charles,FA,RB,48,57,3.86,
51,Marlon Mack,IND,RB,49,59,4.08,
52,Samaje Perine,MIA,RB,51,51,0.00,
53,Jamaal Williams,GB,RB,52,57,2.05,
54,Giovani Bernard,CIN,RB,53,56,1.25,
55,Alvin Kamara,NO,RB,49,57,4.00,
56,DeAndre Washington,LV,RB,50,59,4.03,
57,Latavius Murray,NO,RB,49,60,5.50,
58,Chris Thompson,FA,RB,52,58,3.00,
59,Jalen Richard,LV,RB,54,56,1.00,
60,Robert Turbin,FA,RB,52,52,0.00,
61,Matt Breida,SF,RB,53,63,5.00,
62,Chris Carson,SEA,RB,54,62,4.00,
63,D'Onta Foreman,FA,RB,55,55,0.00,
64,James Conner,PIT,RB,56,56,0.00,
65,Dion Lewis,NYG,RB,58,59,0.50,
66,Charcandrick West,FA,RB,60,60,0.00,
67,Wendell Smallwood,WAS,RB,60,61,0.50,
