FantasyPros.com 
2017 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Rob Gronkowski,FA,TE,1,1,0.00,
2,Travis Kelce,KC,TE,2,2,0.00,
3,Greg Olsen,SEA,TE,3,4,0.47,
4,Jimmy Graham,CHI,TE,4,5,0.47,
5,Jordan Reed,FA,TE,3,6,1.25,
6,Kyle Rudolph,MIN,TE,6,7,0.47,
7,Zach Ertz,PHI,TE,5,11,2.49,
8,Martellus Bennett,FA,TE,6,9,1.25,
9,Tyler Eifert,JAC,TE,8,9,0.47,
10,Delanie Walker,FA,TE,10,10,0.00,
11,Hunter Henry,LAC,TE,12,13,0.47,
12,Jason Witten,LV,TE,11,14,1.41,
13,Eric Ebron,PIT,TE,12,15,1.25,
14,Jack Doyle,IND,TE,9,18,3.68,
15,C.J. Fiedorowicz,FA,TE,11,19,3.40,
16,Austin Hooper,CLE,TE,15,18,1.41,
17,Antonio Gates,FA,TE,16,20,1.70,
18,Coby Fleener,FA,TE,16,20,1.70,
19,Cameron Brate,TB,TE,12,26,5.73,
20,Julius Thomas,FA,TE,16,21,2.05,
21,Jared Cook,NO,TE,20,25,2.05,
22,David Njoku,CLE,TE,21,26,2.16,
23,Charles Clay,FA,TE,19,23,2.00,
24,Dwayne Allen,FA,TE,23,27,1.70,
25,O.J. Howard,TB,TE,23,27,1.89,
26,Austin Seferian-Jenkins,FA,TE,22,33,4.78,
27,Zach Miller,FA,TE,22,25,1.50,
28,Evan Engram,NYG,TE,21,31,5.00,
29,George Kittle,SF,TE,26,32,2.49,
30,Tyler Higbee,LAR,TE,24,24,0.00,
31,Vance McDonald,PIT,TE,28,30,0.94,
32,Jermaine Gresham,FA,TE,28,28,0.00,
33,Vernon Davis,FA,TE,29,30,0.50,
34,Benjamin Watson,FA,TE,29,29,0.00,
35,Lance Kendricks,FA,TE,29,29,0.00,
36,Jesse James,DET,TE,34,34,0.00,
