Rank,Tier,WSID,Overall,Team,Pos,Bye,Best,Worst,Avg,Std Dev
1,1,,Christian McCaffrey,CAR,RB1,,1,4,1,0
2,1,,Saquon Barkley,NYG,RB2,,1,6,2.7,1
3,1,,Michael Thomas,NO,WR1,,2,9,3.4,1.1
4,1,,Ezekiel Elliott,DAL,RB3,,2,8,3.6,1.1
5,2,,Dalvin Cook,MIN,RB4,,2,11,5.3,1.4
6,2,,Derrick Henry,TEN,RB5,,2,19,7,2.7
7,2,,Alvin Kamara,NO,RB6,,4,14,7.5,1.7
8,3,,Tyreek Hill,KC,WR2,,3,24,10.4,2.2
9,3,,Davante Adams,GB,WR3,,6,22,10.8,2.8
10,3,,Aaron Jones,GB,RB7,,6,22,11,3.6
11,3,,Joe Mixon,CIN,RB8,,5,31,11.7,5.3
12,3,,Nick Chubb,CLE,RB9,,5,28,12.6,3.8
13,3,,Julio Jones,ATL,WR4,,8,25,13,3.4
14,3,,DeAndre Hopkins,ARI,WR5,,4,34,13.4,4.5
15,3,,Chris Godwin,TB,WR6,,11,25,14.7,1.9
16,3,,Travis Kelce,KC,TE1,,12,27,17.6,2.5
17,3,,George Kittle,SF,TE2,,14,34,18.1,1.8
18,4,,Josh Jacobs,LV,RB10,,9,31,19.7,4.9
19,4,,Mike Evans,TB,WR7,,11,37,20.4,5.7
20,4,,Lamar Jackson,BAL,QB1,,8,38,22.9,7.4
21,4,,Kenny Golladay,DET,WR8,,11,48,22.9,6
22,4,,Leonard Fournette,JAC,RB11,,12,52,24.4,6.5
23,4,,Amari Cooper,DAL,WR9,,13,50,25.4,6.1
24,4,,Austin Ekeler,LAC,RB12,,7,42,26.9,6.5
25,4,,Kenyan Drake,ARI,RB13,,6,51,27.5,8.1
26,5,,Odell Beckham Jr.,CLE,WR10,,12,80,29.4,10.1
27,5,,Miles Sanders,PHI,RB14,,13,48,30.1,7.3
28,5,,D.J. Moore,CAR,WR11,,13,60,31.1,7.5
29,5,,Courtland Sutton,DEN,WR12,,21,48,32.7,4.6
30,5,,Mark Andrews,BAL,TE3,,12,63,32.7,11.1
31,5,,Allen Robinson,CHI,WR13,,21,50,33,6.5
32,5,,Patrick Mahomes,KC,QB2,,15,40,33.4,7.5
33,5,,Todd Gurley,ATL,RB15,,17,67,34,13.1
34,5,,Chris Carson,SEA,RB16,,14,59,34.1,10.8
35,5,,A.J. Brown,TEN,WR14,,25,50,35.1,6.4
36,5,,JuJu Smith-Schuster,PIT,WR15,,15,74,35.8,8.8
37,5,,Cooper Kupp,LAR,WR16,,15,85,38.5,10.3
38,5,,Marlon Mack,IND,RB17,,27,60,39.3,7.5
39,5,,Adam Thielen,MIN,WR17,,20,65,41.2,10.7
40,6,,Mark Ingram II,BAL,RB18,,27,84,42.4,9.1
41,6,,Keenan Allen,LAC,WR18,,28,82,43.2,10.6
42,6,,Calvin Ridley,ATL,WR19,,26,62,44,8.6
43,6,,DeVante Parker,MIA,WR20,,30,65,44.8,7.4
44,6,,Zach Ertz,PHI,TE4,,26,53,45.1,5.9
45,6,,Devin Singletary,BUF,RB19,,17,84,45.5,9.1
46,6,,Melvin Gordon,DEN,RB20,,6,80,46.1,12.4
47,6,,Tyler Lockett,SEA,WR21,,25,72,46.4,10.3
48,6,,Robert Woods,LAR,WR22,,33,68,48.1,6.2
49,6,,Stefon Diggs,BUF,WR23,,29,84,49.1,10.1
50,6,,D.K. Metcalf,SEA,WR24,,33,73,49.5,7.4
51,6,,Le'Veon Bell,NYJ,RB21,,23,81,52.1,13
52,6,,T.Y. Hilton,IND,WR25,,33,105,53,9.8
53,6,,Darren Waller,LV,TE5,,18,69,53.3,8.9
54,6,,A.J. Green,CIN,WR26,,29,83,56.4,13
55,6,,Russell Wilson,SEA,QB3,,44,71,56.9,4
56,7,,Kyler Murray,ARI,QB4,,42,83,58,5.1
57,7,,Damien Williams,KC,RB22,,19,93,58.2,14.7
58,7,,James Conner,PIT,RB23,,37,100,58.3,9.8
59,7,,D.J. Chark,JAC,WR27,,43,74,59.6,8.3
60,7,,Terry McLaurin,WAS,WR28,,39,79,61.3,7.1
61,7,,Michael Gallup,DAL,WR29,,33,79,61.6,10.6
62,7,,Kerryon Johnson,DET,RB24,,31,98,62.3,13.4
63,7,,Dak Prescott,DAL,QB5,,46,77,62.6,6.4
64,7,,David Montgomery,CHI,RB25,,40,84,63.8,11.9
65,7,,David Johnson,HOU,RB26,,31,277,65.1,17.6
66,7,,Deshaun Watson,HOU,QB6,,54,95,66.2,9.7
67,7,,Hunter Henry,LAC,TE6,,46,106,67.4,8.5
68,7,,Jarvis Landry,CLE,WR30,,35,122,70,9.8
